QR_ID,Vendor_Code,Vendor_Name,Lot_Number,Date_of_Manufacture,Warranty_Expiry,Num_Inspections,Inspection_Records,In_Service_Failure,Failure_Date,Track_Section
QR0228,V002,Jindal Rail Infra,LOT4555,2024-12-26,2029-12-26,3,"[{'date': datetime.date(2025, 1, 15), 'result': 'Pass', 'wear': np.float64(20.6)}, {'date': datetime.date(2025, 5, 15), 'result': 'Pass', 'wear': np.float64(25.81)}, {'date': datetime.date(2025, 5, 28), 'result': 'Fail', 'wear': np.float64(23.34)}]",Yes,2025-09-05,Coastal Area
QR0229,V001,Tata Steel,LOT8846,2024-08-15,2026-08-15,3,"[{'date': datetime.date(2025, 6, 21), 'result': 'Pass', 'wear': np.float64(19.59)}, {'date': datetime.date(2024, 12, 13), 'result': 'Pass', 'wear': np.float64(14.3)}, {'date': datetime.date(2025, 2, 23), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Urban Metro
QR0230,V005,Reliance Infra,LOT6886,2024-12-24,2027-12-24,4,"[{'date': datetime.date(2025, 5, 15), 'result': 'Pass', 'wear': np.float64(19.3)}, {'date': datetime.date(2025, 3, 8), 'result': 'Pass', 'wear': np.float64(17.08)}, {'date': datetime.date(2025, 2, 20), 'result': 'Pass', 'wear': np.float64(17.72)}, {'date': datetime.date(2025, 3, 10), 'result': 'Pass', 'wear': np.float64(2.23)}]",No,,Hilly Terrain
QR0231,V002,Jindal Rail Infra,LOT7073,2024-11-23,2027-11-23,5,"[{'date': datetime.date(2024, 12, 28), 'result': 'Pass', 'wear': np.float64(4.19)}, {'date': datetime.date(2025, 2, 16), 'result': 'Pass', 'wear': np.float64(25.53)}, {'date': datetime.date(2024, 11, 24), 'result': 'Pass', 'wear': np.float64(14.6)}, {'date': datetime.date(2025, 1, 29), 'result': 'Pass', 'wear': np.float64(21.82)}, {'date': datetime.date(2025, 5, 25), 'result': 'Pass', 'wear': np.float64(15.28)}]",No,,Urban Metro
QR0232,V003,SAIL,LOT3497,2023-12-21,2025-12-21,4,"[{'date': datetime.date(2024, 12, 15), 'result': 'Pass', 'wear': np.float64(15.3)}, {'date': datetime.date(2025, 1, 20), 'result': 'Pass', 'wear': np.float64(24.38)}, {'date': datetime.date(2024, 5, 18), 'result': 'Pass', 'wear': np.float64(9.84)}, {'date': datetime.date(2024, 9, 30), 'result': 'Pass', 'wear': np.float64(15.96)}]",No,,Hilly Terrain
QR0233,V003,SAIL,LOT9005,2025-08-07,2030-08-07,5,"[{'date': datetime.date(2025, 8, 29), 'result': 'Pass', 'wear': np.float64(10.38)}, {'date': datetime.date(2025, 8, 31), 'result': 'Pass', 'wear': np.float64(10.66)}, {'date': datetime.date(2025, 8, 15), 'result': 'Pass', 'wear': np.float64(11.91)}, {'date': datetime.date(2025, 8, 31), 'result': 'Pass', 'wear': np.float64(17.22)}, {'date': datetime.date(2025, 8, 16), 'result': 'Pass', 'wear': np.float64(10.21)}]",No,,Plain
QR0234,V001,Tata Steel,LOT9584,2025-03-12,2026-03-12,2,"[{'date': datetime.date(2025, 8, 14), 'result': 'Fail', 'wear': np.float64(27.56)}, {'date': datetime.date(2025, 4, 9), 'result': 'Pass', 'wear': np.float64(6.05)}]",No,,Urban Metro
QR0235,V002,Jindal Rail Infra,LOT4791,2025-02-12,2026-02-12,3,"[{'date': datetime.date(2025, 6, 11), 'result': 'Pass', 'wear': np.float64(13.13)}, {'date': datetime.date(2025, 8, 11), 'result': 'Pass', 'wear': np.float64(10.6)}, {'date': datetime.date(2025, 8, 11), 'result': 'Pass', 'wear': np.float64(29.47)}]",No,,Plain
QR0236,V004,Bharat Forge,LOT8993,2024-04-17,2025-04-17,2,"[{'date': datetime.date(2024, 8, 6), 'result': 'Pass', 'wear': np.float64(16.97)}, {'date': datetime.date(2024, 12, 14), 'result': 'Pass', 'wear': np.float64(25.32)}]",Yes,2025-08-25,Hilly Terrain
QR0237,V005,Reliance Infra,LOT5697,2023-12-06,2024-12-06,5,"[{'date': datetime.date(2025, 8, 10), 'result': 'Pass', 'wear': np.float64(0.14)}, {'date': datetime.date(2024, 2, 15), 'result': 'Fail', 'wear': np.float64(17.67)}, {'date': datetime.date(2025, 2, 24), 'result': 'Pass', 'wear': np.float64(23.9)}, {'date': datetime.date(2024, 7, 6), 'result': 'Pass', 'wear': np.float64(15.82)}, {'date': datetime.date(2025, 1, 26), 'result': 'Pass', 'wear': np.float64(25.65)}]",No,,Plain
QR0238,V003,SAIL,LOT6807,2024-09-15,2027-09-15,5,"[{'date': datetime.date(2025, 2, 27), 'result': 'Pass', 'wear': np.float64(9.83)}, {'date': datetime.date(2025, 7, 16), 'result': 'Fail', 'wear': np.float64(29.09)}, {'date': datetime.date(2024, 12, 19), 'result': 'Pass', 'wear': np.float64(37.99)}, {'date': datetime.date(2024, 11, 14), 'result': 'Pass', 'wear': np.float64(11.37)}, {'date': datetime.date(2024, 12, 21), 'result': 'Pass', 'wear': np.float64(10.54)}]",No,,Heavy Load Zone
QR0239,V001,Tata Steel,LOT2531,2024-05-29,2029-05-29,5,"[{'date': datetime.date(2024, 9, 12), 'result': 'Pass', 'wear': np.float64(29.53)}, {'date': datetime.date(2024, 11, 25), 'result': 'Pass', 'wear': np.float64(30.8)}, {'date': datetime.date(2025, 5, 28), 'result': 'Pass', 'wear': np.float64(9.77)}, {'date': datetime.date(2025, 1, 21), 'result': 'Pass', 'wear': np.float64(10.8)}, {'date': datetime.date(2025, 3, 4), 'result': 'Pass', 'wear': np.float64(12.18)}]",No,,Hilly Terrain
QR0240,V005,Reliance Infra,LOT2562,2025-03-29,2026-03-29,3,"[{'date': datetime.date(2025, 5, 27), 'result': 'Pass', 'wear': np.float64(1.56)}, {'date': datetime.date(2025, 7, 11), 'result': 'Pass', 'wear': np.float64(5.81)}, {'date': datetime.date(2025, 6, 25), 'result': 'Pass', 'wear': np.float64(4.96)}]",No,,Heavy Load Zone
QR0241,V001,Tata Steel,LOT5593,2025-01-06,2026-01-06,3,"[{'date': datetime.date(2025, 2, 3), 'result': 'Fail', 'wear': np.float64(7.32)}, {'date': datetime.date(2025, 9, 2), 'result': 'Pass', 'wear': np.float64(14.65)}, {'date': datetime.date(2025, 2, 13), 'result': 'Fail', 'wear': np.float64(17.34)}]",No,,Urban Metro
QR0242,V001,Tata Steel,LOT5903,2025-04-19,2027-04-19,3,"[{'date': datetime.date(2025, 8, 13), 'result': 'Pass', 'wear': np.float64(30.51)}, {'date': datetime.date(2025, 5, 5), 'result': 'Pass', 'wear': np.float64(5.02)}, {'date': datetime.date(2025, 4, 24), 'result': 'Pass', 'wear': np.float64(24.84)}]",No,,Urban Metro
QR0243,V002,Jindal Rail Infra,LOT2284,2025-01-07,2028-01-07,2,"[{'date': datetime.date(2025, 8, 5), 'result': 'Pass', 'wear': np.float64(12.86)}, {'date': datetime.date(2025, 8, 7), 'result': 'Pass', 'wear': np.float64(14.51)}]",No,,Plain
QR0244,V005,Reliance Infra,LOT7499,2024-09-20,2027-09-20,2,"[{'date': datetime.date(2024, 12, 22), 'result': 'Pass', 'wear': np.float64(21.75)}, {'date': datetime.date(2025, 2, 8), 'result': 'Pass', 'wear': np.float64(3.77)}]",No,,Coastal Area
QR0245,V003,SAIL,LOT7150,2025-08-07,2030-08-07,3,"[{'date': datetime.date(2025, 8, 12), 'result': 'Pass', 'wear': np.float64(18.82)}, {'date': datetime.date(2025, 8, 12), 'result': 'Pass', 'wear': np.float64(16.66)}, {'date': datetime.date(2025, 8, 21), 'result': 'Pass', 'wear': np.float64(19.92)}]",No,,Coastal Area
QR0246,V001,Tata Steel,LOT2344,2024-08-25,2027-08-25,3,"[{'date': datetime.date(2025, 4, 15), 'result': 'Pass', 'wear': np.float64(17.89)}, {'date': datetime.date(2025, 1, 3), 'result': 'Pass', 'wear': np.float64(39.55)}, {'date': datetime.date(2024, 12, 6), 'result': 'Pass', 'wear': np.float64(8.62)}]",No,,Hilly Terrain
QR0247,V001,Tata Steel,LOT2499,2024-02-26,2025-02-26,4,"[{'date': datetime.date(2024, 3, 28), 'result': 'Pass', 'wear': np.float64(9.69)}, {'date': datetime.date(2025, 8, 21), 'result': 'Pass', 'wear': np.float64(8.77)}, {'date': datetime.date(2025, 7, 5), 'result': 'Pass', 'wear': np.float64(9.45)}, {'date': datetime.date(2024, 12, 10), 'result': 'Pass', 'wear': np.float64(8.63)}]",No,,Plain
QR0248,V005,Reliance Infra,LOT9395,2023-11-12,2028-11-12,2,"[{'date': datetime.date(2025, 7, 5), 'result': 'Pass', 'wear': np.float64(26.89)}, {'date': datetime.date(2025, 3, 10), 'result': 'Pass', 'wear': np.float64(29.21)}]",No,,Plain
QR0249,V003,SAIL,LOT7311,2024-02-21,2025-02-21,4,"[{'date': datetime.date(2024, 11, 2), 'result': 'Pass', 'wear': np.float64(9.29)}, {'date': datetime.date(2025, 1, 26), 'result': 'Pass', 'wear': np.float64(6.68)}, {'date': datetime.date(2024, 3, 13), 'result': 'Pass', 'wear': np.float64(19.71)}, {'date': datetime.date(2024, 12, 18), 'result': 'Pass', 'wear': np.float64(9.48)}]",No,,Coastal Area
QR0250,V005,Reliance Infra,LOT9537,2025-02-23,2027-02-23,5,"[{'date': datetime.date(2025, 7, 21), 'result': 'Pass', 'wear': np.float64(21.33)}, {'date': datetime.date(2025, 5, 16), 'result': 'Pass', 'wear': np.float64(17.03)}, {'date': datetime.date(2025, 7, 19), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2025, 8, 30), 'result': 'Pass', 'wear': np.float64(30.48)}, {'date': datetime.date(2025, 6, 13), 'result': 'Pass', 'wear': np.float64(32.96)}]",No,,Hilly Terrain
QR0251,V004,Bharat Forge,LOT2260,2024-11-21,2027-11-21,4,"[{'date': datetime.date(2024, 12, 14), 'result': 'Fail', 'wear': np.float64(8.87)}, {'date': datetime.date(2025, 5, 30), 'result': 'Pass', 'wear': np.float64(11.12)}, {'date': datetime.date(2025, 7, 15), 'result': 'Pass', 'wear': np.float64(17.86)}, {'date': datetime.date(2025, 3, 1), 'result': 'Pass', 'wear': np.float64(18.34)}]",No,,Coastal Area
QR0252,V003,SAIL,LOT1110,2025-04-12,2030-04-12,4,"[{'date': datetime.date(2025, 8, 12), 'result': 'Pass', 'wear': np.float64(21.59)}, {'date': datetime.date(2025, 7, 1), 'result': 'Pass', 'wear': np.float64(35.1)}, {'date': datetime.date(2025, 6, 30), 'result': 'Pass', 'wear': np.float64(13.23)}, {'date': datetime.date(2025, 5, 26), 'result': 'Pass', 'wear': np.float64(7.02)}]",No,,Plain
QR0253,V002,Jindal Rail Infra,LOT5922,2025-08-03,2028-08-03,3,"[{'date': datetime.date(2025, 8, 18), 'result': 'Pass', 'wear': np.float64(1.21)}, {'date': datetime.date(2025, 8, 5), 'result': 'Pass', 'wear': np.float64(7.69)}, {'date': datetime.date(2025, 9, 4), 'result': 'Pass', 'wear': np.float64(14.67)}]",No,,Urban Metro
QR0254,V005,Reliance Infra,LOT4971,2023-10-14,2026-10-14,5,"[{'date': datetime.date(2025, 4, 12), 'result': 'Pass', 'wear': np.float64(32.95)}, {'date': datetime.date(2024, 9, 18), 'result': 'Pass', 'wear': np.float64(9.82)}, {'date': datetime.date(2023, 12, 29), 'result': 'Pass', 'wear': np.float64(17.24)}, {'date': datetime.date(2024, 3, 19), 'result': 'Fail', 'wear': np.float64(14.84)}, {'date': datetime.date(2025, 1, 26), 'result': 'Pass', 'wear': np.float64(26.88)}]",No,,Coastal Area
QR0255,V005,Reliance Infra,LOT1440,2025-05-12,2030-05-12,3,"[{'date': datetime.date(2025, 8, 21), 'result': 'Pass', 'wear': np.float64(40.27)}, {'date': datetime.date(2025, 6, 10), 'result': 'Pass', 'wear': np.float64(9.69)}, {'date': datetime.date(2025, 7, 24), 'result': 'Pass', 'wear': np.float64(10.11)}]",No,,Urban Metro
QR0256,V004,Bharat Forge,LOT3280,2024-06-07,2027-06-07,3,"[{'date': datetime.date(2024, 11, 8), 'result': 'Pass', 'wear': np.float64(25.44)}, {'date': datetime.date(2025, 8, 22), 'result': 'Pass', 'wear': np.float64(21.82)}, {'date': datetime.date(2024, 12, 19), 'result': 'Pass', 'wear': np.float64(33.47)}]",No,,Urban Metro
QR0257,V005,Reliance Infra,LOT8851,2025-01-30,2030-01-30,5,"[{'date': datetime.date(2025, 8, 24), 'result': 'Pass', 'wear': np.float64(20.84)}, {'date': datetime.date(2025, 8, 28), 'result': 'Pass', 'wear': np.float64(11.41)}, {'date': datetime.date(2025, 7, 12), 'result': 'Pass', 'wear': np.float64(20.91)}, {'date': datetime.date(2025, 2, 13), 'result': 'Pass', 'wear': np.float64(26.09)}, {'date': datetime.date(2025, 3, 22), 'result': 'Pass', 'wear': np.float64(23.2)}]",No,,Heavy Load Zone
QR0258,V001,Tata Steel,LOT5067,2025-06-19,2028-06-19,3,"[{'date': datetime.date(2025, 8, 5), 'result': 'Pass', 'wear': np.float64(20.07)}, {'date': datetime.date(2025, 7, 19), 'result': 'Pass', 'wear': np.float64(25.67)}, {'date': datetime.date(2025, 6, 26), 'result': 'Fail', 'wear': np.float64(26.69)}]",No,,Urban Metro
QR0259,V003,SAIL,LOT8052,2023-10-27,2024-10-27,2,"[{'date': datetime.date(2025, 1, 31), 'result': 'Pass', 'wear': np.float64(28.82)}, {'date': datetime.date(2024, 3, 14), 'result': 'Pass', 'wear': np.float64(21.49)}]",No,,Plain
QR0260,V005,Reliance Infra,LOT4621,2024-01-22,2029-01-22,4,"[{'date': datetime.date(2025, 5, 24), 'result': 'Pass', 'wear': np.float64(13.33)}, {'date': datetime.date(2025, 4, 18), 'result': 'Pass', 'wear': np.float64(16.47)}, {'date': datetime.date(2024, 10, 5), 'result': 'Pass', 'wear': np.float64(27.07)}, {'date': datetime.date(2024, 7, 13), 'result': 'Pass', 'wear': np.float64(6.83)}]",No,,Heavy Load Zone
QR0261,V004,Bharat Forge,LOT2712,2024-10-13,2027-10-13,5,"[{'date': datetime.date(2024, 11, 24), 'result': 'Fail', 'wear': np.float64(18.69)}, {'date': datetime.date(2025, 6, 23), 'result': 'Pass', 'wear': np.float64(11.07)}, {'date': datetime.date(2025, 1, 8), 'result': 'Pass', 'wear': np.float64(15.29)}, {'date': datetime.date(2025, 2, 5), 'result': 'Pass', 'wear': np.float64(27.78)}, {'date': datetime.date(2025, 2, 11), 'result': 'Pass', 'wear': np.float64(16.91)}]",No,,Coastal Area
QR0262,V005,Reliance Infra,LOT8912,2025-01-26,2028-01-26,5,"[{'date': datetime.date(2025, 6, 19), 'result': 'Pass', 'wear': np.float64(15.46)}, {'date': datetime.date(2025, 5, 19), 'result': 'Pass', 'wear': np.float64(1.4)}, {'date': datetime.date(2025, 4, 5), 'result': 'Pass', 'wear': np.float64(22.46)}, {'date': datetime.date(2025, 3, 16), 'result': 'Pass', 'wear': np.float64(21.45)}, {'date': datetime.date(2025, 3, 12), 'result': 'Pass', 'wear': np.float64(36.63)}]",No,,Heavy Load Zone
QR0263,V003,SAIL,LOT2791,2023-10-10,2025-10-10,3,"[{'date': datetime.date(2024, 3, 30), 'result': 'Pass', 'wear': np.float64(11.92)}, {'date': datetime.date(2025, 4, 5), 'result': 'Pass', 'wear': np.float64(17.19)}, {'date': datetime.date(2024, 10, 20), 'result': 'Pass', 'wear': np.float64(17.49)}]",No,,Urban Metro
QR0264,V002,Jindal Rail Infra,LOT7636,2024-02-26,2026-02-26,3,"[{'date': datetime.date(2025, 3, 29), 'result': 'Pass', 'wear': np.float64(30.77)}, {'date': datetime.date(2025, 6, 20), 'result': 'Pass', 'wear': np.float64(14.05)}, {'date': datetime.date(2025, 2, 22), 'result': 'Pass', 'wear': np.float64(17.79)}]",No,,Coastal Area
QR0265,V004,Bharat Forge,LOT8037,2024-03-11,2029-03-11,2,"[{'date': datetime.date(2025, 4, 23), 'result': 'Pass', 'wear': np.float64(21.08)}, {'date': datetime.date(2024, 4, 4), 'result': 'Pass', 'wear': np.float64(16.87)}]",No,,Heavy Load Zone
QR0266,V005,Reliance Infra,LOT2667,2025-07-13,2027-07-13,4,"[{'date': datetime.date(2025, 8, 11), 'result': 'Pass', 'wear': np.float64(10.54)}, {'date': datetime.date(2025, 8, 8), 'result': 'Pass', 'wear': np.float64(16.94)}, {'date': datetime.date(2025, 8, 19), 'result': 'Pass', 'wear': np.float64(25.74)}, {'date': datetime.date(2025, 8, 31), 'result': 'Pass', 'wear': np.float64(4.73)}]",No,,Hilly Terrain
QR0267,V005,Reliance Infra,LOT7367,2024-03-30,2029-03-30,2,"[{'date': datetime.date(2025, 7, 31), 'result': 'Pass', 'wear': np.float64(16.33)}, {'date': datetime.date(2024, 10, 21), 'result': 'Pass', 'wear': np.float64(8.0)}]",No,,Hilly Terrain
QR0268,V005,Reliance Infra,LOT2388,2024-01-05,2026-01-05,4,"[{'date': datetime.date(2025, 4, 11), 'result': 'Pass', 'wear': np.float64(26.95)}, {'date': datetime.date(2025, 3, 30), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2024, 7, 17), 'result': 'Pass', 'wear': np.float64(9.41)}, {'date': datetime.date(2024, 9, 10), 'result': 'Pass', 'wear': np.float64(18.77)}]",No,,Urban Metro
QR0269,V005,Reliance Infra,LOT3258,2025-07-25,2030-07-25,5,"[{'date': datetime.date(2025, 8, 16), 'result': 'Pass', 'wear': np.float64(30.66)}, {'date': datetime.date(2025, 8, 25), 'result': 'Pass', 'wear': np.float64(14.34)}, {'date': datetime.date(2025, 8, 29), 'result': 'Pass', 'wear': np.float64(9.45)}, {'date': datetime.date(2025, 8, 11), 'result': 'Pass', 'wear': np.float64(33.81)}, {'date': datetime.date(2025, 8, 24), 'result': 'Fail', 'wear': np.float64(0.52)}]",No,,Urban Metro
QR0270,V003,SAIL,LOT3298,2025-06-12,2027-06-12,4,"[{'date': datetime.date(2025, 8, 16), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2025, 8, 31), 'result': 'Pass', 'wear': np.float64(19.4)}, {'date': datetime.date(2025, 6, 19), 'result': 'Pass', 'wear': np.float64(9.98)}, {'date': datetime.date(2025, 7, 1), 'result': 'Fail', 'wear': np.float64(4.79)}]",No,,Coastal Area
QR0271,V004,Bharat Forge,LOT9281,2023-10-30,2028-10-30,5,"[{'date': datetime.date(2024, 2, 1), 'result': 'Pass', 'wear': np.float64(22.08)}, {'date': datetime.date(2025, 4, 1), 'result': 'Pass', 'wear': np.float64(17.44)}, {'date': datetime.date(2024, 5, 8), 'result': 'Pass', 'wear': np.float64(9.36)}, {'date': datetime.date(2024, 7, 3), 'result': 'Pass', 'wear': np.float64(2.2)}, {'date': datetime.date(2025, 1, 22), 'result': 'Pass', 'wear': np.float64(23.72)}]",Yes,2024-05-08,Coastal Area
QR0272,V003,SAIL,LOT1535,2024-08-14,2027-08-14,3,"[{'date': datetime.date(2024, 12, 3), 'result': 'Pass', 'wear': np.float64(21.5)}, {'date': datetime.date(2025, 6, 24), 'result': 'Pass', 'wear': np.float64(14.01)}, {'date': datetime.date(2025, 1, 6), 'result': 'Pass', 'wear': np.float64(33.47)}]",No,,Urban Metro
QR0273,V005,Reliance Infra,LOT9369,2023-10-02,2024-10-02,2,"[{'date': datetime.date(2024, 7, 7), 'result': 'Pass', 'wear': np.float64(4.3)}, {'date': datetime.date(2024, 8, 20), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Plain
QR0274,V001,Tata Steel,LOT8231,2024-06-22,2026-06-22,5,"[{'date': datetime.date(2025, 5, 7), 'result': 'Pass', 'wear': np.float64(8.08)}, {'date': datetime.date(2025, 8, 28), 'result': 'Pass', 'wear': np.float64(14.54)}, {'date': datetime.date(2025, 2, 20), 'result': 'Pass', 'wear': np.float64(17.43)}, {'date': datetime.date(2024, 9, 19), 'result': 'Pass', 'wear': np.float64(12.59)}, {'date': datetime.date(2024, 7, 21), 'result': 'Fail', 'wear': np.float64(18.52)}]",No,,Hilly Terrain
QR0275,V001,Tata Steel,LOT8193,2023-10-11,2024-10-11,3,"[{'date': datetime.date(2025, 7, 28), 'result': 'Pass', 'wear': np.float64(2.48)}, {'date': datetime.date(2025, 1, 2), 'result': 'Pass', 'wear': np.float64(29.44)}, {'date': datetime.date(2024, 1, 2), 'result': 'Pass', 'wear': np.float64(14.18)}]",No,,Plain
QR0276,V004,Bharat Forge,LOT3719,2023-12-16,2025-12-16,3,"[{'date': datetime.date(2024, 11, 13), 'result': 'Pass', 'wear': np.float64(26.17)}, {'date': datetime.date(2023, 12, 26), 'result': 'Pass', 'wear': np.float64(18.43)}, {'date': datetime.date(2025, 6, 12), 'result': 'Pass', 'wear': np.float64(19.57)}]",No,,Plain
QR0277,V005,Reliance Infra,LOT3758,2024-08-02,2027-08-02,4,"[{'date': datetime.date(2025, 1, 1), 'result': 'Pass', 'wear': np.float64(20.7)}, {'date': datetime.date(2025, 3, 12), 'result': 'Pass', 'wear': np.float64(19.48)}, {'date': datetime.date(2025, 5, 23), 'result': 'Pass', 'wear': np.float64(21.43)}, {'date': datetime.date(2025, 6, 9), 'result': 'Fail', 'wear': np.float64(28.29)}]",No,,Heavy Load Zone
QR0278,V002,Jindal Rail Infra,LOT7743,2025-02-26,2026-02-26,4,"[{'date': datetime.date(2025, 5, 12), 'result': 'Pass', 'wear': np.float64(16.97)}, {'date': datetime.date(2025, 8, 2), 'result': 'Pass', 'wear': np.float64(22.09)}, {'date': datetime.date(2025, 3, 14), 'result': 'Pass', 'wear': np.float64(14.1)}, {'date': datetime.date(2025, 8, 19), 'result': 'Pass', 'wear': np.float64(29.4)}]",No,,Coastal Area
QR0279,V004,Bharat Forge,LOT9019,2025-08-11,2027-08-11,4,"[{'date': datetime.date(2025, 8, 27), 'result': 'Pass', 'wear': np.float64(8.24)}, {'date': datetime.date(2025, 8, 26), 'result': 'Pass', 'wear': np.float64(33.01)}, {'date': datetime.date(2025, 8, 18), 'result': 'Pass', 'wear': np.float64(14.6)}, {'date': datetime.date(2025, 8, 14), 'result': 'Pass', 'wear': np.float64(0.69)}]",No,,Urban Metro
QR0280,V005,Reliance Infra,LOT5558,2024-01-27,2027-01-27,5,"[{'date': datetime.date(2024, 11, 5), 'result': 'Fail', 'wear': np.float64(16.28)}, {'date': datetime.date(2025, 5, 8), 'result': 'Pass', 'wear': np.float64(8.19)}, {'date': datetime.date(2024, 3, 14), 'result': 'Pass', 'wear': np.float64(23.41)}, {'date': datetime.date(2025, 7, 10), 'result': 'Pass', 'wear': np.float64(8.47)}, {'date': datetime.date(2024, 11, 19), 'result': 'Pass', 'wear': np.float64(10.54)}]",No,,Urban Metro
QR0281,V003,SAIL,LOT2037,2025-07-25,2030-07-25,3,"[{'date': datetime.date(2025, 9, 3), 'result': 'Fail', 'wear': np.float64(0.0)}, {'date': datetime.date(2025, 8, 3), 'result': 'Pass', 'wear': np.float64(10.48)}, {'date': datetime.date(2025, 8, 24), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Hilly Terrain
QR0282,V003,SAIL,LOT9967,2024-01-09,2026-01-09,5,"[{'date': datetime.date(2024, 11, 5), 'result': 'Pass', 'wear': np.float64(0.0)}, {'date': datetime.date(2024, 1, 26), 'result': 'Pass', 'wear': np.float64(22.6)}, {'date': datetime.date(2025, 5, 22), 'result': 'Pass', 'wear': np.float64(22.86)}, {'date': datetime.date(2024, 10, 13), 'result': 'Pass', 'wear': np.float64(19.25)}, {'date': datetime.date(2024, 9, 29), 'result': 'Pass', 'wear': np.float64(5.33)}]",No,,Heavy Load Zone
QR0283,V001,Tata Steel,LOT3588,2024-06-21,2029-06-21,5,"[{'date': datetime.date(2025, 7, 12), 'result': 'Pass', 'wear': np.float64(14.52)}, {'date': datetime.date(2024, 11, 16), 'result': 'Fail', 'wear': np.float64(14.96)}, {'date': datetime.date(2025, 4, 28), 'result': 'Pass', 'wear': np.float64(3.42)}, {'date': datetime.date(2025, 3, 26), 'result': 'Pass', 'wear': np.float64(30.03)}, {'date': datetime.date(2024, 11, 8), 'result': 'Pass', 'wear': np.float64(23.77)}]",No,,Coastal Area
QR0284,V003,SAIL,LOT2529,2023-11-05,2026-11-05,4,"[{'date': datetime.date(2024, 6, 9), 'result': 'Pass', 'wear': np.float64(12.79)}, {'date': datetime.date(2024, 6, 15), 'result': 'Pass', 'wear': np.float64(15.27)}, {'date': datetime.date(2024, 6, 25), 'result': 'Pass', 'wear': np.float64(17.08)}, {'date': datetime.date(2025, 6, 16), 'result': 'Pass', 'wear': np.float64(0.0)}]",No,,Coastal Area
QR0285,V004,Bharat Forge,LOT2494,2025-05-20,2026-05-20,2,"[{'date': datetime.date(2025, 7, 26), 'result': 'Pass', 'wear': np.float64(12.53)}, {'date': datetime.date(2025, 6, 18), 'result': 'Pass', 'wear': np.float64(8.18)}]",No,,Plain
QR0286,V004,Bharat Forge,LOT1152,2024-04-24,2025-04-24,4,"[{'date': datetime.date(2025, 6, 12), 'result': 'Pass', 'wear': np.float64(4.98)}, {'date': datetime.date(2024, 11, 1), 'result': 'Fail', 'wear': np.float64(12.19)}, {'date': datetime.date(2025, 1, 18), 'result': 'Pass', 'wear': np.float64(32.98)}, {'date': datetime.date(2025, 3, 17), 'result': 'Pass', 'wear': np.float64(21.41)}]",No,,Urban Metro
QR0287,V001,Tata Steel,LOT2678,2024-04-22,2025-04-22,4,"[{'date': datetime.date(2025, 4, 12), 'result': 'Pass', 'wear': np.float64(9.29)}, {'date': datetime.date(2025, 2, 12), 'result': 'Pass', 'wear': np.float64(20.73)}, {'date': datetime.date(2024, 10, 18), 'result': 'Pass', 'wear': np.float64(28.99)}, {'date': datetime.date(2024, 10, 29), 'result': 'Pass', 'wear': np.float64(24.25)}]",No,,Coastal Area
QR0288,V001,Tata Steel,LOT9691,2024-04-07,2025-04-07,3,"[{'date': datetime.date(2025, 8, 10), 'result': 'Pass', 'wear': np.float64(15.6)}, {'date': datetime.date(2025, 8, 27), 'result': 'Pass', 'wear': np.float64(8.53)}, {'date': datetime.date(2025, 4, 16), 'result': 'Pass', 'wear': np.float64(21.98)}]",No,,Urban Metro
QR0289,V005,Reliance Infra,LOT8248,2025-06-08,2027-06-08,2,"[{'date': datetime.date(2025, 7, 24), 'result': 'Pass', 'wear': np.float64(18.93)}, {'date': datetime.date(2025, 7, 14), 'result': 'Pass', 'wear': np.float64(23.95)}]",No,,Urban Metro
QR0290,V003,SAIL,LOT8035,2024-03-20,2027-03-20,3,"[{'date': datetime.date(2024, 6, 25), 'result': 'Pass', 'wear': np.float64(21.35)}, {'date': datetime.date(2024, 10, 26), 'result': 'Pass', 'wear': np.float64(25.5)}, {'date': datetime.date(2024, 6, 5), 'result': 'Pass', 'wear': np.float64(9.65)}]",No,,Plain
QR0291,V003,SAIL,LOT1439,2024-12-19,2027-12-19,3,"[{'date': datetime.date(2025, 5, 12), 'result': 'Pass', 'wear': np.float64(28.17)}, {'date': datetime.date(2025, 1, 30), 'result': 'Pass', 'wear': np.float64(16.98)}, {'date': datetime.date(2025, 6, 29), 'result': 'Pass', 'wear': np.float64(35.75)}]",No,,Heavy Load Zone
QR0292,V002,Jindal Rail Infra,LOT9108,2025-05-01,2030-05-01,2,"[{'date': datetime.date(2025, 5, 28), 'result': 'Pass', 'wear': np.float64(8.11)}, {'date': datetime.date(2025, 8, 8), 'result': 'Pass', 'wear': np.float64(32.36)}]",No,,Heavy Load Zone
